,m,MR,ACC,MTS
0,1000,0,98.79,92.23
1,1000,1,99.09,86.05
2,1000,2,98.83,98.08
3,2000,0,98.83,94.9
4,2000,1,99.01,92.14
5,2000,2,98.97,98.61
6,3000,0,99.0,96.88
7,3000,1,99.01,93.53
8,3000,2,99.01,98.43
9,4000,0,98.7,96.85
10,4000,1,98.7,96.06
11,4000,2,98.88,98.52
12,5000,0,98.61,97.1
13,5000,1,98.79,96.29
14,5000,2,98.48,98.52
15,6000,0,98.69,97.75
16,6000,1,98.57,96.44
17,6000,2,98.71,98.52
18,7000,0,98.56,97.97
19,7000,1,98.35,96.47
20,7000,2,98.57,98.25
21,8000,0,98.52,97.61
22,8000,1,98.2,96.37
23,8000,2,98.35,98.23
24,9000,0,98.53,97.72
25,9000,1,98.25,96.69
26,9000,2,97.98,98.12
27,10000,0,98.06,97.81
28,10000,1,98.13,96.61
29,10000,2,98.09,98.07
30,11000,0,97.85,97.63
31,11000,1,97.75,96.68
32,11000,2,97.94,98.2
33,12000,0,97.51,97.22
34,12000,1,97.53,96.82
35,12000,2,97.8,97.92
36,13000,0,97.58,97.03
37,13000,1,96.82,96.33
38,13000,2,97.15,97.13
39,14000,0,96.85,96.48
40,14000,1,97.08,96.11
41,14000,2,96.72,97.22
42,15000,0,96.61,96.16
43,15000,1,96.54,95.94
44,15000,2,96.64,96.73
45,16000,0,95.85,95.58
46,16000,1,95.62,94.92
47,16000,2,95.63,96.13
48,17000,0,95.62,95.04
49,17000,1,95.16,94.39
50,17000,2,94.58,95.81
51,18000,0,94.87,94.53
52,18000,1,94.1,93.54
53,18000,2,93.63,94.6
54,19000,0,93.96,93.35
55,19000,1,93.16,93.21
56,19000,2,92.54,93.63
